"Item Group Code","Item Group","Item Code","Item","Element Code","Element","Factor"
"17530","Fibre Crops, Fibre Equivalent","809","Abaca, manila hemp, raw","5312","Area harvested","1"
"17530","Fibre Crops, Fibre Equivalent","800","Agave fibres, raw, n.e.c.","5312","Area harvested","1"
"17530","Fibre Crops, Fibre Equivalent","771","Flax, raw or retted","5312","Area harvested","1"
"17530","Fibre Crops, Fibre Equivalent","780","Jute, raw or retted","5312","Area harvested","1"
"17530","Fibre Crops, Fibre Equivalent","310","Kapok fruit","5312","Area harvested","1"
"17530","Fibre Crops, Fibre Equivalent","782","Kenaf, and other textile bast fibres, raw or retted","5312","Area harvested","1"
"17530","Fibre Crops, Fibre Equivalent","821","Other fibre crops, raw, n.e.c.","5312","Area harvested","1"
"17530","Fibre Crops, Fibre Equivalent","788","Ramie, raw or retted","5312","Area harvested","1"
"17530","Fibre Crops, Fibre Equivalent","328","Seed cotton, unginned","5312","Area harvested","1"
"17530","Fibre Crops, Fibre Equivalent","789","Sisal, raw","5312","Area harvested","1"
"17530","Fibre Crops, Fibre Equivalent","777","True hemp, raw or retted","5312","Area harvested","1"
"1841","Oilcrops, Cake Equivalent","249","Coconuts, in shell","5312","Area harvested","1"
"1841","Oilcrops, Cake Equivalent","242","Groundnuts, excluding shelled","5312","Area harvested","1"
"1841","Oilcrops, Cake Equivalent","336","Hempseed","5312","Area harvested","1"
"1841","Oilcrops, Cake Equivalent","310","Kapok fruit","5312","Area harvested","1"
"1841","Oilcrops, Cake Equivalent","333","Linseed","5312","Area harvested","1"
"1841","Oilcrops, Cake Equivalent","299","Melonseed","5312","Area harvested","1"
"1841","Oilcrops, Cake Equivalent","292","Mustard seed","5312","Area harvested","1"
"1841","Oilcrops, Cake Equivalent","254","Oil palm fruit","5312","Area harvested","1"
"1841","Oilcrops, Cake Equivalent","339","Other oil seeds, n.e.c.","5312","Area harvested","1"
"1841","Oilcrops, Cake Equivalent","296","Poppy seed","5312","Area harvested","1"
"1841","Oilcrops, Cake Equivalent","270","Rape or colza seed","5312","Area harvested","1"
"1841","Oilcrops, Cake Equivalent","280","Safflower seed","5312","Area harvested","1"
"1841","Oilcrops, Cake Equivalent","328","Seed cotton, unginned","5312","Area harvested","1"
"1841","Oilcrops, Cake Equivalent","289","Sesame seed","5312","Area harvested","1"
"1841","Oilcrops, Cake Equivalent","236","Soya beans","5312","Area harvested","1"
"1841","Oilcrops, Cake Equivalent","267","Sunflower seed","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","265","Castor oil seeds","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","249","Coconuts, in shell","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","242","Groundnuts, excluding shelled","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","336","Hempseed","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","277","Jojoba seeds","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","310","Kapok fruit","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","263","Karite nuts (sheanuts)","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","333","Linseed","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","299","Melonseed","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","292","Mustard seed","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","254","Oil palm fruit","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","260","Olives","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","339","Other oil seeds, n.e.c.","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","296","Poppy seed","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","270","Rape or colza seed","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","280","Safflower seed","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","328","Seed cotton, unginned","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","289","Sesame seed","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","236","Soya beans","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","267","Sunflower seed","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","305","Tallowtree seeds","5312","Area harvested","1"
"1732","Oilcrops, Oil Equivalent","275","Tung nuts","5312","Area harvested","1"
