animal,product_type,value_2018, value_2019 , value_2020 , value_2021 , value_2022 , value_2023 , value_2024 , Three-year avg , 19/18 , 20/19 , 21/20 , 22/21 , 23/22 , 24/23 , six-year , six-year-annualized 
Chicken,Meat,70105351000," 72,329,757,000 "," 73,091,007,000 "," 73,745,518,000 "," 75,444,696,000 "," 76,951,157,000 "," 78,533,923,000 "," 76,976,592,000 ",3.2%,1.1%,0.9%,2.3%,2.0%,2.1%,12.0%,1.9%
Duck,Meat,3159924000," 3,218,234,000 "," 3,604,773,000 "," 3,793,121,000 "," 4,109,226,000 "," 4,173,312,000 "," 4,227,882,000 "," 4,170,140,000 ",1.8%,12.0%,5.2%,8.3%,1.6%,1.3%,33.8%,5.0%
Pig,Meat,1476565156," 1,332,579,293 "," 1,319,184,248 "," 1,472,869,881 "," 1,496,428,680 "," 1,513,463,182 "," 1,493,796,985 "," 1,501,229,616 ",-9.8%,-1.0%,11.7%,1.6%,1.1%,-1.3%,1.2%,0.2%
Goose,Meat,752220000," 750,146,000 "," 768,683,000 "," 781,204,000 "," 781,846,000 "," 798,583,000 "," 803,201,000 "," 794,543,333 ",-0.3%,2.5%,1.6%,0.1%,2.1%,0.6%,6.8%,1.1%
Sheep,Meat,602227575," 616,100,710 "," 642,818,861 "," 668,278,516 "," 690,589,161 "," 713,905,326 "," 703,861,354 "," 702,785,280 ",2.3%,4.3%,4.0%,3.3%,3.4%,-1.4%,16.9%,2.6%
Rabbit/Hare,Meat,652253000," 658,169,000 "," 605,030,000 "," 586,660,000 "," 613,822,000 "," 605,380,000 "," 604,235,000 "," 607,812,333 ",0.9%,-8.1%,-3.0%,4.6%,-1.4%,-0.2%,-7.4%,-1.3%
Goat,Meat,494799605," 515,608,355 "," 524,338,707 "," 534,861,387 "," 549,690,111 "," 565,352,521 "," 563,722,557 "," 559,588,396 ",4.2%,1.7%,2.0%,2.8%,2.8%,-0.3%,13.9%,2.2%
Turkey,Meat,576657000," 567,414,000 "," 563,405,000 "," 540,380,000 "," 522,815,000 "," 521,829,000 "," 504,128,000 "," 516,257,333 ",-1.6%,-0.7%,-4.1%,-3.3%,-0.2%,-3.4%,-12.6%,-2.2%
Cattle,Meat,294619397," 298,711,710 "," 285,721,360 "," 286,943,331 "," 291,311,978 "," 298,177,711 "," 304,744,668 "," 298,078,119 ",1.4%,-4.3%,0.4%,1.5%,2.4%,2.2%,3.4%,0.6%
Domestic Rodent,Meat,70459000," 70,355,000 "," 70,172,000 "," 69,494,000 "," 69,473,000 "," 69,365,000 "," 69,257,000 "," 69,365,000 ",-0.1%,-0.3%,-1.0%,0.0%,-0.2%,-0.2%,-1.7%,-0.3%
Pigeon/Other Bird,Meat,50326000," 49,919,000 "," 52,125,000 "," 49,898,000 "," 50,304,000 "," 49,954,000 "," 49,433,000 "," 49,897,000 ",-0.8%,4.4%,-4.3%,0.8%,-0.7%,-1.0%,-1.8%,-0.3%
Buffalo,Meat,27513586," 27,276,237 "," 27,172,123 "," 27,869,060 "," 28,464,588 "," 28,610,566 "," 29,040,868 "," 28,705,341 ",-0.9%,-0.4%,2.6%,2.1%,0.5%,1.5%,5.6%,0.9%
Horse,Meat,4318787," 4,454,567 "," 4,927,026 "," 4,527,209 "," 4,681,139 "," 4,575,765 "," 4,451,641 "," 4,569,515 ",3.1%,10.6%,-8.1%,3.4%,-2.3%,-2.7%,3.1%,0.5%
Camel (All Camelids),Meat,3552856," 3,651,854 "," 3,772,217 "," 3,772,173 "," 3,821,546 "," 4,104,830 "," 4,096,023 "," 4,007,466 ",2.8%,3.3%,0.0%,1.3%,7.4%,-0.2%,15.3%,2.4%
Donkeys & mules,Meat,1501202," 1,567,311 "," 1,414,837 "," 1,250,928 "," 1,154,348 "," 1,038,304 "," 956,024 "," 1,049,559 ",4.4%,-9.7%,-11.6%,-7.7%,-10.1%,-7.9%,-36.3%,-7.2%
TOTAL,,78272288164,80443944037,81564544379,82566647485,84658323551,86298808205," 87,896,729,120 ",,2.8%,1.4%,1.2%,2.5%,1.9%,1.9%,12.3%,2.0%
